,Id,file_id,words
0,c4,08_1056.xml,"[2165, 3, 3355, 4908, 4]"
1,c4,08_1056.xml,"[3, 3355, 4908, 4, 4193]"
2,c4,08_1056.xml,"[3355, 4908, 4, 4193, 3]"
3,c4,08_1056.xml,"[4908, 4, 4193, 3, 213146]"
4,c1,09_930.xml,"[3250, 845, 29136, 4, 2352]"
5,c1,09_930.xml,"[845, 29136, 4, 2352, 2344]"
6,c1,09_930.xml,"[29136, 4, 2352, 2344, 201534]"
7,c1,09_930.xml,"[4, 2352, 2344, 201534, 201534]"
8,c1,09_930.xml,"[2352, 2344, 201534, 201534, 743]"
9,c1,09_930.xml,"[2344, 201534, 201534, 743, 3277]"
10,c1,09_930.xml,"[201534, 201534, 743, 3277, 201534]"
11,c1,09_930.xml,"[201534, 743, 3277, 201534, 201534]"
12,c1,09_930.xml,"[743, 3277, 201534, 201534, 4]"
13,c1,09_930.xml,"[3277, 201534, 201534, 4, 1287]"
14,c1,09_930.xml,"[201534, 201534, 4, 1287, 451]"
15,c1,09_930.xml,"[201534, 4, 1287, 451, 3]"
16,c1,09_930.xml,"[4, 1287, 451, 3, 36184]"
17,c4,09_930.xml,"[2301, 3, 201534, 124, 201534]"
18,c4,09_930.xml,"[3, 201534, 124, 201534, 743]"
19,c6,09_930.xml,"[401, 19067, 31, 1767, 4]"
20,c6,09_930.xml,"[19067, 31, 1767, 4, 938]"
21,c6,09_930.xml,"[31, 1767, 4, 938, 3250]"
22,c2,06_1301.xml,"[401, 1034, 995, 4, 30]"
23,c2,06_1301.xml,"[1034, 995, 4, 30, 977]"
24,c3,06_1301.xml,"[401, 19067, 647, 4, 4745]"
25,c3,06_1301.xml,"[19067, 647, 4, 4745, 1553]"
26,c3,06_1301.xml,"[647, 4, 4745, 1553, 10]"
27,c3,06_1301.xml,"[4, 4745, 1553, 10, 42]"
28,c3,06_1301.xml,"[4745, 1553, 10, 42, 5214]"
29,c3,06_1301.xml,"[1553, 10, 42, 5214, 43]"
30,c3,06_1301.xml,"[10, 42, 5214, 43, 36]"
31,c3,06_1301.xml,"[42, 5214, 43, 36, 30]"
32,c3,06_1301.xml,"[5214, 43, 36, 30, 29]"
33,c3,06_1301.xml,"[43, 36, 30, 29, 6437]"
34,c3,06_1301.xml,"[36, 30, 29, 6437, 12607]"
35,c4,06_1301.xml,"[401, 2515, 3, 9758, 27042]"
36,c4,06_1301.xml,"[2515, 3, 9758, 27042, 0]"
37,c4,06_1301.xml,"[3, 9758, 27042, 0, 9022]"
38,c4,06_1301.xml,"[9758, 27042, 0, 9022, 3]"
39,c4,06_1301.xml,"[27042, 0, 9022, 3, 12018]"
40,c5,06_1301.xml,"[1549, 47498, 3, 1534, 3725]"
41,c5,06_1301.xml,"[47498, 3, 1534, 3725, 3]"
42,c5,06_1301.xml,"[3, 1534, 3725, 3, 312]"
43,c5,06_1301.xml,"[1534, 3725, 3, 312, 3249]"
44,c5,06_1301.xml,"[3725, 3, 312, 3249, 743]"
45,c5,06_1301.xml,"[3, 312, 3249, 743, 2972]"
46,c5,06_1301.xml,"[312, 3249, 743, 2972, 201534]"
47,c2,09_1042.xml,"[401, 201534, 4817, 201534, 100]"
48,c2,09_1042.xml,"[201534, 4817, 201534, 100, 12]"
49,c2,09_1042.xml,"[4817, 201534, 100, 12, 7]"
50,c2,09_1042.xml,"[201534, 100, 12, 7, 47558]"
51,c2,09_1042.xml,"[100, 12, 7, 47558, 460]"
52,c2,09_1042.xml,"[12, 7, 47558, 460, 6915]"
53,c2,09_1042.xml,"[7, 47558, 460, 6915, 36]"
54,c2,09_1042.xml,"[47558, 460, 6915, 36, 4]"
55,c2,09_1042.xml,"[460, 6915, 36, 4, 30]"
56,c2,09_1042.xml,"[6915, 36, 4, 30, 116]"
57,c2,09_1042.xml,"[36, 4, 30, 116, 425]"
58,c2,09_1042.xml,"[4, 30, 116, 425, 0]"
59,c2,09_1042.xml,"[30, 116, 425, 0, 2301]"
60,c2,09_1042.xml,"[116, 425, 0, 2301, 3]"
61,c2,09_1042.xml,"[425, 0, 2301, 3, 1534]"
62,c2,09_1042.xml,"[0, 2301, 3, 1534, 201534]"
63,c2,09_1042.xml,"[2301, 3, 1534, 201534, 3]"
64,c2,09_1042.xml,"[3, 1534, 201534, 3, 0]"
65,c2,09_1042.xml,"[1534, 201534, 3, 0, 3347]"
66,c2,09_1042.xml,"[201534, 3, 0, 3347, 743]"
67,c2,09_1042.xml,"[3, 0, 3347, 743, 3795]"
68,c2,09_1042.xml,"[0, 3347, 743, 3795, 201534]"
69,c3,09_1042.xml,"[401, 4348, 8438, 98, 0]"
70,c3,09_1042.xml,"[4348, 8438, 98, 0, 18886]"
71,c3,09_1042.xml,"[8438, 98, 0, 18886, 201534]"
72,c3,09_1042.xml,"[98, 0, 18886, 201534, 4817]"
73,c3,09_1042.xml,"[0, 18886, 201534, 4817, 201534]"
